topic0,oper,financ,region,countri,agreement,econom,cooper,project,financi,guarante
topic1,payment,budget,appropri,area,euratom,chapter,financi,commit,total,aid
topic2,budget,amount,expenditur,titl,item,polici,payment,chapter,fund,commit
topic3,fund,commit,parliament,payment,programm,project,support,pilot,innov,action
topic4,appropri,expenditur,outturn,financi,differenti,programm,commit,ad,administr,manag
topic5,appropri,financi,revenu,year,remark,chapter,assign,staff,total,expenditur
topic6,commit,programm,payment,action,appropri,contribut,support,research,parliament,revenu
topic7,iranian,compani,oil,tehran,subsidiari,nioc,tel,st,prohibit,permit
topic8,product,materi,origin,use,ex,manufactur,work,valu,declar,head
topic9,al,birth,syrian,regim,syria,repress,respons,minist,civilian,popul
topic10,row,part,crr,credit,exposur,asset,amount,financi,institut,column
topic11,eupol,copp,rafah,head,action,bam,oper,polic,staff,eusr
topic12,bio,product,number,code,third,countri,categori,point,relat,organ
topic13,al,born,takfir,hijra,ident,card,activist,algier,hofstadgroep,biscay
topic14,remarksthi,agreement,basiscouncil,price,flower,rose,carnat,bank,eec,small
